rotten_tomatoes_link,movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,runtime_in_minutes,tomatometer_rating,audience_rating
/m/10003437-deep_blue,Deep Blue,"This comprehensive presentation of images from the world's oceans, gathered over years of filming, plunges the audience into the spectacle of the seas. Viewers embark on a journey from the shallowest coral reefs to the barren shores of the Antarctic and from the vast stretches of the open ocean to the nocturnal landscapes of the ocean's deepest chasms.","Full of visually striking footage, Deep Blue may be too intense for younger viewers, but fans of nature documentaries will find much to enjoy.",G,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill","Alastair Fothergill, Andy Byatt, Tim Ecott","Pierce Brosnan, Michael Gambon",90.0,67,80.0
/m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"In order to avoid the material copyrighted by Douglas Fairbanks Sr. for his 1922 Robin Hood, the scripters of this Flynn version relied on several legendary episodes that had never before been filmed, notably the battle between Robin and Little John (Alan Hale Sr., who played this part three times in his long career) and the ""piggy-back"" episode between Robin and Friar Tuck (Eugene Pallette). The film ties together the various ancient anecdotes with a storyline bounded by the capture in Austria of Richard the Lionheart (Ian Hunter) on one end and Richard's triumphant return to England on the other. Robin Hood is already an outlaw at the outset of the film, while Maid Marian (Olivia de Havilland) is initially part of the enemy camp, as one of Prince John's (Claude Rains) entourage. Marian warms up to Robin's fight against injustice (and to Robin himself), eventually becoming a trusted ally. James Cagney was originally announced for the role of Robin Hood, just before Cagney left Warner Bros. in a salary dispute. William Keighley was the original director, but he worked too slowly to suit the tight production schedule and was replaced by Michael Curtiz (both men receive screen credit). A lengthy opening jousting sequence was shot but removed from the final print; portions of this sequence show up as stock footage in the 1957 Warners film The Story of Mankind. The chestnut-colored Palomino horse ridden by de Havilland in the Sherwood Forest scenes later gained screen stardom as Roy Rogers' Trigger.","Errol Flynn thrills as the legendary title character, and the film embodies the type of imaginative family adventure tailor-made for the silver screen.",PG,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Eugene Pallette, Alan Hale, Una O'Connor, Patric Knowles, Melville Cooper, Herbert Mundin, Montagu Love, Ian Hunter, Robert Warwick, Leonard Willey, Harry Cording, Howard Hill, Robert Noble, Kenneth Hunter, Colin Kenny, Lester Matthews, Ivan Simpson, James Baker, Charles McNaughton, Lionel Belmore, Wilfred Lucas, Reginald Sheffield, Janet Shaw, Crauford Kent, Austin Fairman, Hal Brazeale, Holmes Herbert, Leonard Mudie, Herbert Evans, Alec Harford, Peter Hobbes, Leyland Hodgson, Olaf Hytten, Marten Lamont, Val Stanton, John Sutton",102.0,100,89.0
/m/10004209-tristan_and_isolde,Tristan & Isolde,"In the medieval legend of Tristan and Isolde, young lovers become doomed against the forces of royal politics. English knight Tristan wins the hand of the daughter of the Irish King, but the love threatens the truce between their two countries.","Competent but somewhat static, Tristan & Isolde doesn't achieve the sweeping romanticism that it aims for.",PG-13,"Drama, Science Fiction & Fantasy, Romance",Kevin Reynolds,Dean Georgaris,"James Franco, Sophia Myles, Rufus Sewell, David O'Hara, Henry Cavill, JB Blanc, Tiffany Knight, Jamie Thomas King, Leo Gregory, Richard Dillane, Graham Mullins, Mark Strong (II), Bronagh Gallagher, Ronan Vibert, Lucy Russell, Thomas Sangster, Dexter Fletcher, Wolfgang Muller, Cheyenne Rushing, Thomas Morris, Barbara Kodetova, Isobel Moynihan, Gordon Truefitt, Myles Taylor, Jack Montgomery, Marek Vasut, David Fisher, Kevin Flood, Philip O'Sullivan, Nevan Finnegan, Jon Olafsson, Todd Kramer, Bronwen Bonner-Davies, Winter Ave Zoli, Mirek Simunek, Bronwen Davies, Nevan Finegan, Hans Martin Stier, Jón ??lafsson",99.0,31,71.0
/m/10004288-running_scared,Running Scared,"A minor crook finds himself in major peril when a ""hot"" weapon goes missing in this violent crime thriller. Joey Gazelle (Paul Walker) is a low-level ""mechanic"" in the Mafia who hopes to rise through the ranks by doing whatever is needed. One night, a drug deal goes very wrong when police show up and try to close down the operation; shots break out and a battle ensues, with a pair of of cops meeting a particularly violent fate at bad end of a gun barrel. Joey is given the gun that killed the policemen and is told to make it disappear so it can't be used as evidence; however, before he can do that, the weapon is stolen by Oleg (Cameron Bright), a friend of Joey's young son, who takes the pistol and uses it to shoot his abusive stepfather. Now that the gun is implicated in high profile crimes, it's vitally important that Joey find it as soon as possible, but his search for the firearm is complicated by the fact that Oleg's stepdad is affiliated with a rival gang of Russian mobsters, and that Rydell (Chazz Palminteri), a seriously corrupt police detective, is hot on Joey's trail. Joey's search for the gun takes him through the grim criminal netherworld of the city, where he must face off against nearly every sort of crook, con artist, and deviate that has ever walked the earth. Running Scared is from writer-director Wayne Kramer, who made a name for himself with the well-reviewed independent feature The Cooler. ~ Mark Deming, Rovi","This film runs with frenetic energy punctuated by gratuitous violence but sorely lacks in plot, character development and stylistic flair.",R,"Action & Adventure, Drama, Mystery & Suspense",Wayne Kramer,Wayne Kramer,"Paul Walker, Cameron Bright, Vera Farmiga, Karel Roden, Johnny Messner, Ivana Milicevic, Chazz Palminteri, Alex Neuberger, Michael Cudlitz, Bruce Altman, Elizabeth Mitchell, Arthur J. Nascarella, John Noble, Idalis DeLeon, David Warshofsky, Jim Tooey, Thomas Rosales Jr., Morgan Johnson, Jamba Mulimbwe, Maurice Lee, Viktor Cervenka, Oakley Lehman, Jan Kohout, Jeffrey Smith, Karen Cifarelli, Brian Caspe, Ryan James, Ellen Savaria",119.0,41,79.0
/m/10004504-ultraviolet,Ultraviolet,"In the late 21st a disease called Hemophagia has genetically modified nearly an entire race of people, leaving them with such enhanced speed, intelligence, and strength that they resemble vampires in nearly every way. Fear begins to breed within the power elite as the disease continues to spread and those infected prove to be truly superhuman, and now, a civil war is brewing between uninfected humans and those altered by Hemophagia. Caught dead in the center of it is an infected woman called Violet (Milla Jovovich), who is bent on vengeance and has little left to lose. Provoked beyond reason by powers that will not rest until she and her people are dead, she will become everything her persecutors feared her to be.","An incomprehensible and forgettable sci-fi thriller, Ultraviolet is inept in every regard.",PG-13,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,Kurt Wimmer,"Milla Jovovich, Cameron Bright, Nick Chinlund, William Fichtner, Sebastien Andrieu, Ida Martin, David Collier, Kieran O'Rorke, Digger Mesch, Ryan Martin, Steven Calcote, Ricardo Mamood, Mike Smith, Clay Cullen, Jennifer Caputo, Jack Murphy, Diego Swing, Ted Thomas, Abraham Boyd, Matthew Sturgess, Alexander Key, Peter Spurrier, Russell Wait, Youlia Galenko, Luke Jackson, Christopher Garner, Duc Luu, Kurt Wimmer, Gilad Lotan, Phillip Moore, Robert Alonzo, Mitchell Gould, Daniel Hawe, Scott Piper",88.0,8,30.0
/m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),"On the heels of his first foray into romantic comedy, versatile French filmmaker Luc Besson breaks new ground yet again with this computer-animated, family-friendly adaptation of his own children's book Arthur and the Minimoys. Arthur is a wide-eyed ten-year-old whose vivid imagination is fueled by the colorful bedtime stories his grandmother reads to him each night. His dreams are filled with images of African tribes and the remarkable inventions detailed in the enigmatic book that his grandfather left behind after mysteriously disappearing four years ago. Arthur and his family are in danger of losing their home to an unscrupulous real-estate developer, but if there is any truth to the tales of a treasure hidden deep beneath their garden and the tiny, fairy-like creatures that his grandmother so frequently sketches, there may still be hope of saving their home before it's too late. Now, with nothing to guide him but the clues left behind by his grandfather, Arthur will set out to find the mythical world of Seven Kingdoms, where the Minimoys are said to dwell, and ensure that his troubled family always has a place to call home. An imaginative children's fantasy in the vein of J.M. Barrie's Peter Pan, Arthur and the Invisibles features the voices of David Bowie, Snoop Dogg, Madonna, Mia Farrow, and Freddie Highmore. ~ Jason Buchanan, Rovi",Arthur wastes its big-name voice talent on a predictable script and substandard CG animation.,PG,"Animation, Kids & Family, Science Fiction & Fantasy",Luc Besson,"Luc Besson, Celine Garcia","Freddie Highmore, Mia Farrow, Penny Balfour, Doug Rand, David Bowie, Madonna, Snoop Dogg, Jimmy Fallon, Robert De Niro, Anthony Anderson, Chazz Palminteri, Jason Bateman, Adam LeFevre, Harvey Keitel, Emilio Estevez, Ron Crawford, Jean Bejote Njamba, Serge Blumental, Erik Per Sullivan, Rob Corddry, Nathan Corddry",94.0,22,56.0
/m/10004697-eternal,Eternal,"When the wife of Raymond Pope, a Montreal vice cop with questionable morals, disappears, the trail leads him to the home Elizabeth Kane, a disturbingly beautiful woman who taunts him with information, but denies him any answers. A dangerous game of cat and mouse ensues as Pope's investigation reveals that while Elizabeth, along with her servant, Irina, have no documented history, they seem bizarrely connected to the past - particularly that of Erszebet Bathory, the Transylvanian countess who murdered 650 women in order to bathe in their blood. The closer Pope gets, the more sadistic Elizabeth becomes, systematically targeting those around him and framing him for their murders.","Even by the standards of camp, Eternal fails to entertain.",R,"Horror, Mystery & Suspense","Wilhelm Liebenberg, Federico Sanchez","Wilhelm Liebenberg, Federico Sanchez","Sarah Manninen, Caroline Neron, Victoria Sanchez, Conrad Pla, Ilona Elkin, Nick Baillie, Luke Belanger, Liane Balaban, John Dunn-Hill, Arthur Holden, Kathleen Munroe, Romano Orzari, John Dunhill, Yves Corbeil, Jennifer Morehouse, Ella, Suzanne Jaquart, Cristina Bertini, Ted Rusoff",107.0,21,40.0
/m/10004925-matador,The Matador,"A chance meeting between two middle-aged men leads one into a life of crime in this offbeat comedy. Danny Wright (Greg Kinnear) is an American businessman whose life has been going through a sour patch after he and his wife, Carolyn (Hope Davis), lost their young son. During a business trip to Mexico City, Danny strikes up a conversation in a hotel bar with fellow out-of-towner Julian Noble (Pierce Brosnan), and while Julian's loud and brassy manner initially puts Danny off, in time the two become friends, and Julian feels comfortable enough with Danny to tell him what he does for a living. It seems Julian is a hired killer working under the auspices of underworld kingpins Lovell (Dylan Baker) and Mr. Randy (Philip Baker Hall), and Julian tries to persuade Danny to help him with his latest assignment. Danny refuses, but a few months later a distraught Julian appears unannounced on Danny's doorstep. It seems Julian has blown his two most recent assignments due to a variety of psychosomatic illnesses, and now Lovell and Mr. Randy want him dead. Julian has also done something to put Danny in his debt, and the previously non-criminal businessman is forced to help his friend stage a hit, with Julian's presence in his home upsetting the precarious balance of Danny and Carolyn's marriage. ~ Mark Deming, Rovi","This humorously amoral, oddball comic thriller features strong performances by Pierce Brosnan and Greg Kinnear as a flamboyant, aging hit-man and an out of work suburban businessman, respectively.",R,"Action & Adventure, Comedy, Drama, Mystery & Suspense","Bob Yari, Richard Shepard","Richard Shepard, Richard Shepherd","Pierce Brosnan, Greg Kinnear, Hope Davis, Philip Baker Hall, Adam Scott, Dylan Baker, Roberto Sosa, Arlin Miller, Azucena Medina, Portia Dawson, Israel Tellez, Claudia Lobo, Arturo Echeverria, Ramon Valverde",97.0,75,65.0
/m/10005104-intruder,The Intruder (L'Intrus),"Claire Denis' elliptical drama L'Intrus was inspired by a short book written by philosopher Jean-Luc Nancy about his heart transplant. In the film, Michel Subor (Le Petit Soldat) stars as Louis, who lives fairly self-sufficiently in a small cabin in the snowy wilds near the Swiss border. Louis has a son (Grégoire Colin, who also starred with Subor in the director's Beau Travail) whose wife (Florence Loiret-Caille) is a border guard, and they have two young children, but Louis has a strained relationship with his family. He lives a hard, stoic life out in the cold. Mysterious strangers cross the border at all hours of the day and night, and Louis vigilantly -- sometimes violently -- protects his homestead. It soon comes to pass that he needs a heart transplant. Louis quickly and quietly makes some arrangements, and travels to Pusan for the operation. He makes the demand that he be given a young man's heart, and not a woman's. His health still failing, Louis then travels to Tahiti, hoping for a final reunion with another son, whom he abandoned years before. The footage of the young Subor in Tahiti was taken from an uncompleted adaptation of a Robert Louis Stevenson story directed by Paul Gégauff. L'Intrus also stars Béatrice Dalle, Katia Golubeva, and Alex Descas in smaller roles. The film was shown by the Film Society of Lincoln Center as part of 2005's Rendez-Vous With French Cinema. ~ Josh Ralske, Rovi","The impressionistic narrative may confound the viewer, but Denis crafts wonderfully poetic, dreamlike imagery.",G,"Art House & International, Drama",Claire Denis,"Claire Denis, Jean-Pol Fargeau","Beatrice Dalle, Michael Subor, Jean-Marc Teriipaia, Florence Loiret-Caille, Bambou, Yekatarina Golueva, Gregoire Colin, Michel Subor, Edwin Alin, Katya Golubeva, Henri Tetainanuarii, Dong-ho Kim, Chang Se-tak, Park Hong-suk, Anna Tetuaveroa, Henri tetu Tetainanuarii, Karin Bambourough, Alex Descas, Lolita Chammah",129.0,86,73.0
/m/10005178-saint_ralph,Saint Ralph,"This is the story of Ralph Walker, a 14-year-old who in 1954 outran everyone's expectations in his bold quest to win the Boston Marathon. His seriously ill mother knows he is waiting to explode into greatness, except that he has no idea where that greatness will manifest itself. Then, an unfortunate incident of self-abuse in the community pool inadvertently points him in the right direction. As penance for his actions, Ralph is conscripted to the cross-country team. Desperate to believe a miracle will bring his mother out of a coma, Ralph becomes a convert to the church of running and sets his sights on winning the Boston Marathon.",Saint Ralph is an amiable tear-jerker that walks a fine line between being inspirational and being hokum.,PG-13,"Comedy, Drama",Michael McGowan,Michael McGowan,"Adam Butcher, Campbell Scott, Gordon Pinsent, Gordon Pincsent, Jennifer Tilly, Shauna MacDonald, Tamara Hope, Frank Crudele, Michael Kanev, Chris Ploszczansky, Paulette Sinclair, Lubica Kucerova, Ben Gans, Jock McLeod, Jeff Baxter, Daniel Karasik, Jonathan Walker, Keir Gilchrist, Jonathan Wilson, Rob Smith, Joan Massiah, Gerard Parkes, Boyd Banks, Henry Alessandroni, Fiona Highet, Brandon Barre, Sean Cullen (II), John Blakey, Naomi Emmerson, Barry Stillwell, Jonathan Higgins, Michael David Brown",98.0,64,85.0
